"","Species","Number","Museum","AP","ML.large","ML.small","Oblique.rt","Oblique.left","ring","Species2"
"197","Hylobates lar",41416,"MCZ",72.622,46.752,42.339,65.846,67.413,"ring6","Hylobates lar"
"198","Hylobates lar",41500,"MCZ",44.175,63.385,63.186,71.487,41.883,"ring6","Hylobates lar"
"199","Hylobates lar",35943,"MCZ",70.231,48.697,40.451,68.647,69.164,"ring6","Hylobates lar"
"200","Hylobates lar",41412,"MCZ",80.843,46.85,39.491,75.813,72.323,"ring6","Hylobates lar"
"201","Pongo",37363,"MCZ",143.696,85.669,71.196,136.371,134.007,"ring6","Pongo"
"202","Pongo",5195,"MCZ",142.681,94.42,76.133,136.511,133.315,"ring6","Pongo"
"203","Pongo",1055,"CMNH",137.363,88.607,83.319,123.324,120.11,"ring6","Pongo"
"204","Pongo",1030,"CMNH",138.869,91.157,81.811,132.082,127.175,"ring6","Pongo"
"205","Pongo",37365,"MCZ",149.544,99.553,96.501,145.457,145.858,"ring6","Pongo"
"206","Pongo",50958,"MCZ",132.195,81.119,70.783,122.489,123.62,"ring6","Pongo"
"207","Pongo",2583,"CMNH",130.282,75.059,73.951,129.577,129.335,"ring6","Pongo"
"208","Pongo",1677,"AIMZ",143.133,90.098,88.044,140.661,139.605,"ring6","Pongo"
"209","Pongo",1167,"CMNH",119.43,91.502,90.15,113.773,116.258,"ring6","Pongo"
"210","Gorilla",17684,"MCZ",157.249,100.238,76.138,149.536,153.59,"ring6","Gorilla"
"211","Gorilla",2043,"MCZ",156.677,98.022,95.469,145.586,146.355,"ring6","Gorilla"
"212","Gorilla",26850,"MCZ",159.931,101.879,98.389,147.397,149.733,"ring6","Gorilla"
"213","Gorilla",29047,"MCZ",157.466,98.912,67.2,146.233,143.608,"ring6","Gorilla"
"214","Gorilla",38326,"MCZ",147.925,99.672,87.982,134.65,131.354,"ring6","Gorilla"
"215","Gorilla",1704,"CMNH",153.543,100.651,96.612,139.899,140.193,"ring6","Gorilla"
"216","Gorilla",1897,"CMNH",164.333,92.811,89.065,156.245,157.432,"ring6","Gorilla"
"217","Gorilla",1798,"CMNH",167.489,103.126,102.374,153.025,157.087,"ring6","Gorilla"
"218","Gorilla",1765,"CMNH",170.421,100.613,100.035,161.334,155.772,"ring6","Gorilla"
"219","Pan t. verus",10736,"MCZ",151.388,93.023,91,141.925,146.253,"ring6","Pan t."
"220","Pan t.",6244,"MCZ",156.8,84.2,76.253,146.203,146.403,"ring6","Pan t."
"221","Pan t. ellioti",1749,"CMNH",121.6,85.083,78.069,117.198,118.628,"ring6","Pan t."
"222","Pan t.",1755,"CMNH",133.438,94.849,73.505,130.261,128.073,"ring6","Pan t."
"223","Pan t.",1880,"CMNH",153.822,103.92,77.449,145.312,147.897,"ring6","Pan t."
"224","Pan t.",2823,"CMNH",112.879,79.973,75.558,114.5573,110.638,"ring6","Pan t."
"225","Pan t.",1843,"CMNH",137.239,97.817,76.776,134.006,132.048,"ring6","Pan t."
"226","Pan t.",23167,"MCZ",135.608,101.606,78.394,132.039,134.217,"ring6","Pan t."
"227","Pan t.",3539,"CMNH",134.853,115.633,88.72,137.919,138.415,"ring6","Pan t."
"228","Pan t.",3551,"CMNH",134.282,93.019,73.278,122.894,125.778,"ring6","Pan t."
"229","Hylobates lar",35949,"MCZ",78.3636447,50.7314457,42.8285838,70.5111195,69.5467743,"ring7","Hylobates lar"
"230","Hylobates lar",41469,"MCZ",67.452,50.29,42.786,63.607,64.744,"ring7","Hylobates lar"
"231","Hylobates lar",41449,"MCZ",70.744,51.251,40.813,64.94,63.432,"ring7","Hylobates lar"
"232","Hylobates lar",41477,"MCZ",70.617,42.298,35.002,67.157,62.697,"ring7","Hylobates lar"
"233","Hylobates lar",41506,"MCZ",74.088,41.686,36.616,66.402,62.101,"ring7","Hylobates lar"
"234","Hylobates lar",41524,"MCZ",72.046,46.216,39.105,65.475,66.032,"ring7","Hylobates lar"
"235","Hylobates lar",41416,"MCZ",72.548,45.054,44.931,65.474,66.561,"ring7","Hylobates lar"
"236","Hylobates lar",41500,"MCZ",60.629,60.192,68.392,42.03,61.462,"ring7","Hylobates lar"
"237","Hylobates lar",35943,"MCZ",69.423,47.087,39.617,66.744,68.518,"ring7","Hylobates lar"
"238","Hylobates lar",41412,"MCZ",78.598,45.279,37.793,74.77,71.021,"ring7","Hylobates lar"
"239","Pongo",37363,"MCZ",137.859,82.157,72.68,126.823,127.562,"ring7","Pongo"
"240","Pongo",5195,"MCZ",139.723,92.527,73.502,135.816,130.676,"ring7","Pongo"
"241","Pongo",1055,"CMNH",136.906,84.453,74.783,126.492,121.117,"ring7","Pongo"
"242","Pongo",1030,"CMNH",139.168,92.343,83.971,132.254,128.819,"ring7","Pongo"
"243","Pongo",37365,"MCZ",145.071,95.524,90.736,142.48,144.514,"ring7","Pongo"
